% Paid,% оплачено
About,Подробнее
Account Name,Название счёта
Accounts,Счета
Account,Счёт
Add Payment,Добавить платёж
Add Receipt,Добавить накладную
Add Sales Order from Available Stock,Добавить заказ из доступного запаса
Add Sales Orders or Items to Sell,Добавьте заказы или товары на продажу
All items are available for this delivery option,Все товары доступны для этого способа доставки
All items available,Все товары доступны для заказа
Amount should be more that zero,Сумма должна быть больше нуля
App Service Token,Сервисный токен приложения
Are you sure you want to mark this Purchase Order as delivered?,"Вы уверены, что хотите отметить эту закупку как доставленную?"
Are you sure you want to mark this Sales Order as delivered?,"Вы уверены, что хотите отметить этот заказ как доставленный?"
Authorized Token,Авторизированный токен
Authorized Token Expiration,Истечение срока действия авторизированного токена
Available,Доступно
Available Actual,Доступный фактический
Available Purchased,Доступный закупленный
Assets,Активы
Bank,Банк
Bank Account,Банковский счёт
Basic Info,Основная информация
Balance,Баланс
Bot Token,Токен бота
Can only deliver Sales Orders that have delivery status To Deliver: {},"Можно доставить только те заказы, у которых статус доставки — Доставить: {}"
Can only add compensation for submitted document,Можно добавить компенсацию только для подтверждённого документа
Can't add child item that contains child items,Нельзя добавить дочерний товар в дочерний товар
Can't split Sales Order and include all the items,Нельзя разделить заказ и включить все товары в новый
Can fetch items specs only if status is Draft,"Загрузить новую информацию о товарах можно, только если статус заказа — Черновик"
Can't fetch items specs if order is from Available Stock,"Нельзя загрузить новую информацию о товарах, если он из доступного запаса"
Can't add GL Entry for group account,Нельзя добавить бухгалтерскую запись для аккаунта-группы
Can't return all items,Нельзя вернуть все товары
"Can't load information about this order, enter delivery cost","Не удалось загрузить информацию об этом заказе, введите стоимость доставки"
Cannot Add Items,"Товары, которые нельзя добавить"
Cannot fetch those items: {},Не удалось загрузить эти товары: {}
Cannot calculate services amount for Receipt,Не удалось посчитать суммы для накладной
Cash,Наличные
Cash Account,Наличный счёт
Call,Позвонить
Chart of Accounts,Диаграмма счетов
Check availability,Проверить наличие
Check order Message,Сообщение о проверке заказа
Checkout,Оформление закупки
Checkout order,Оформить закупку
Child Item,Дочерний товар
Child Items,Дочерние товары
Choose Items,Выберите товары
Choose Purchase Order,Выберите закупку
Choose Stock Type,Выберите тип запаса
Choose combinations to split,"Выберите комбинации, которые нужно разделить"
Choose items first,Сначала выберите товары
Choose order,Выберите заказ
Combinations,Комбинации
Combinations are split,Комбинации разделены
Comfort Core,Ядро Комфорта
Comfort User,Пользователь Комфорта
Comfort,Комфорт
Commission,Комиссия
Commission Range,Диапазон комиссии
Commission Settings,Настройки комиссии
Compensation,Компенсация
Credit,Кредит
Customer,Клиент
Current cart in your IKEA account will be replaced with new one. Proceed?,Текущая корзина в вашем аккаунте будет заменена новой. Продолжить?
Current Options,Текущие способы
Debit,Дебет
Debtors,Должники
Default Accounts,Счета по умолчанию
Delivered,Доставлено
Delivery,Доставка
Delivery Account,Счёт доставки заказов
Delivery Cost,Стоимость доставки
Delivery Options,Способы доставки
"Delivery Status Sales Order should be To Deliver to add Receipt","Статус доставки должен быть Доставить, чтобы добавить накладную"
"Delivery Status should be Purchased, To Deliver, or Delivered","Статус доставки должен быть Закуплен, Доставить или Доставлен"
Delivery Stop,Остановка доставки
Delivery Trip,Маршрут доставки
Delivery Trip completed,Маршрут завершён
Delivery Type,Тип доставки
Delivery to Apartment,Доставка до квартиры
Delivery to Entrance,Доставка до подъезда
Delivery Options updated,Способы доставки обновлены
Discount,Скидка
Edit Commission,Изменить комиссию
Endpoint,Адрес
Enter endpoint and secret key in Ikea Authorization Server Settings,Введите адрес и секретный ключ в настройках сервера авторизации ИКЕА
Enter login and password in Ikea Settings,Введите логин и пароль в Настройках ИКЕА
Enter VK App service token in Vk Api Settings,Введите сервисный токен приложения VK в настройках VK API
Enter Zip Code in Ikea Settings,Введите почтовый индекс в Настройках ИКЕА
Enter Purchase Number,Введите номер покупки
Enter Purchase Number manually,Ввести номер покупки вручную
Entities,Сущности
Every stop should have address,Каждая остановка должна иметь адрес
Every stop should have city,Каждая остановка должна иметь город
Expense,Расход
Fetch specs,Загрузить информацию
Fetch items specs,Загрузить информацию о товарах
Finance,Финансы
Open in VK,Открыть в VK
Open in Yandex.Maps,Открыть в Яндекс.Картах
Finance Settings,Настройки финансов
"Finance Settings has no field ""{}""","Настройки финансов не имеют поле ""{}"""
From Amount,Сумма от
From Account,Со счёта
From Account and To Account shouldn't be the same,Со счёта и На счёт не должны быть одинаковыми
From Available Stock,Из доступного запаса
From Purchase Order,Из закупки
From Purchase Return,Из возврата закупки
GL Entry,Бухгалтерская запись
Group ID,ID группы
General Ledger,Бухгалтерская книга
Get Delivery Services,Получить способы доставки
Go to Driver mode,Перейти в режим водителя
Guest Token,Токен гостя
Guest Token Expiration,Истечение срока действия токена гостя
Group Token,Токен группы
Ikea Authorization Server Settings,Настройки сервера авторизации ИКЕА
Ikea Settings,Настройки ИКЕА
Income,Доход
Information about item updated,Информация о товаре обновлена
Information about items updated,Информация о товарах обновлена
Installation,Сборка
Installation Account,Счёт сборки
"Insufficient stock for Item {}. Required: {}, available: {}","Недостаточный запас товара {}. Требуется: {} шт, доступно: {} шт"
Invalid category URL,Неверная ссылка на категорию
Inventory Account,Счёт инвентаря
Inventory,Инвентарь
"Internal IKEA error, try again","Внутренняя ошибка ИКЕА, попробуйте снова"
In Progress,В работе
Is Group,Является группой
Item,Товар
Item Categories,Категории товара
Item Category,Категория товара
Item Category Table,Таблица категорий товара
Item Code,Артикул
Item Name,Название товара
Items,Товары
Items Cost,Стоимость товаров
Items added,Товары добавленны
Items to Sell,Товары на продажу
Items to Sell Cost,Стоимость товаров на продажу
Loading items into cart...,Загрузка товаров в корзину...
Last Options,Последние способы
Liabilities,Обязательства
Margin,Прибыль
My Profile,Мой профиль
My Settings,Мои настройки
Money Transfer,Денежный перевод
New Account name,Новое название счёта
Selected Purchase Order has no Items To Sell,В выбранной закупке нет товаров на продажу
No Item {} in Sales Order,В заказе нет товара {}
No Items in Available Actual stock,Нет товаров в доступном фактическом запасе
No items to add available,"Нет товаров, которые можно добавить"
No items selected to add to cart,Нет выбрано товаров для добавления в корзину
No items selected to check delivery services,Нет выбрано товаров для проверки наличия
No available delivery options,Нет доступных способов доставки
No satisfying commission found,Не найдено удовлетворительной комиссии
Not allowed to cancel Sales Return,Не разрешено отменять возврат заказа
Not in Purchase Order,Не в закупке
Not Purchased Sales Orders, Не закупленные заказы
Old Parent,Предыдущий родитель
Order Confirmation No,Номер подтверждения заказа
Order is split,Заказ разделён
Overpaid,Переплачено
Options Changed,Способы изменились
Paid,Оплачено
Paid Amount,Оплаченная сумма
Paid With Cash,Оплачено наличными
Parent Account,Родительский счёт
Parent Item Code,Артикул родительского товара
Partially Paid,Частично оплачено
Payment,Платёж
Payment Status,Статус оплаты
Payment added,Платёж добавлен
Pending Amount,Ожидаемая сумма
Percentage shouldn't be zero,Процент не может быть равен нулю
Pickup order Message,Сообщение о выдаче
Pickup List,Список на выдачу
Posting Date,Дата публикации
Prepaid Inventory,Предоплаченный инвентарь
Prepaid Inventory Account,Счёт предоплаченного инвентаря
Prepaid Sales,Предоплаченные продажи
Prepaid Sales Account,Счёт предоплаченных продаж
Price,Цена
Print Contract Template,Распечатать шаблон договора
Profit/Loss,Прибыль/убыток
Profit and Loss Statement,Отчёт о прибылях и убытках
Purchase Compensations,Компенсации закупок
Purchase Compensations Account,Счёт компенсации закупок
Purchase Delivery,Доставка закупок
Purchase Delivery Account,Счёт доставки закупок
Purchase Order,Закупка
Purchase Order Delivery Option,Способ доставки закупки
Purchase Order Item To Sell,Товары на продажу закупки
Purchase Order Sales Order,Заказа закупки
Purchase Order completed,Закупка завершена
Purchase Order should be submitted,Закупка должна быть подтверждена
Purchase Return,Возврат закупки
Purchase Return Item,Товар возврата закупки
Purchase Number,Номер покупки
Purchased,Закуплено
Purchased Sales Orders,Закупленные заказы
Qty,Кол-во
Quantity,Кол-во
Ranges,Диапазоны
Rate,Цена
Receipt,Накладная
Receipt added,Накладная добавлена
Required,Требуется
Reserved Actual,Зарезервированный фактический
Reserved Purchased,Зарезервированный закупленный
Returns,Возвраты
Returned Paid Amount,Возвращённая оплаченная сумма
Sales,Продажи
Sales Account,Счёт продаж
Sales Compensations,Компенсация заказов
Sales Compensations Account,Счёт компенсаций заказов
Sales Contract,Договор к заказу
Sales Order,Заказ
Sales Order Child Item,Дочерние товары заказа
Sales Order Item,Товары заказа
Sales Order Name,Название заказа
Sales Order Service,Услуги заказа
Sales Order should be not Сancelled to add Payment,"Заказ не может быть отменён, чтобы добавить платёж"
"Sales Order should be Submitted to add Receipt","Заказ должен быть подтверждён, чтобы добавить накладную"
Sales Order should be submitted,Заказ должен быть подтверждён
Sales Order {} has no delivery service,В заказе {} нет доставки
Sales Order {} has no installation service,В заказе {} нет сборки
Sales Orders already in Purchase Order: {},"Заказы, которые уже добавлены в закупку: {}"
Sales Orders,Заказы
Sales Orders Cost,Стоимость заказов
Sales Return,Возврат заказа
Sales Return Item,Товар возврата заказа
Save Purchase Order before checkout,Сохраните закупку до оформления
Schedule Date,Планируемая дата
Service Amount,Сумма услуг
Service Provider,Поставщик услуг
Services,Услуги
Service,Услуги
Split Combinations,Разделить комбинации
Split Order,Разделить заказ
Status of Purchase Order should be To Receive,Статус закупки должен быть Получить
Status should be To Receive or Completed,Статус должен быть Получить или Завершено
Stock,Запасы
Stock Balance,Баланс запасов
Stock Entry,Складская запись
Stock Entry Item,Товар складской записи
Stock Type,Тип запаса
Stops,Остановки
To Account,На счёт
To Amount,Сумма до
To Amount in last row should be zero,Сумма до в последней строке должна быть равна нулю
To Amount shouldn't be zero except last row,Сумма до не должна быть равна нулю кроме последней строки
To Amounts should be in ascending order,Суммы должны быть в порядке возрастания
To Apartment,До квартиры
To Date should be after From Date,
To Deliver,Доставить
To Entrance,До подъезда
To Purchase,Закупить
To Receive,Получить
Total Amount,Общая сумма
Total Margin,Общая прибыль
Total Quantity,Общее кол-во
Total Weight,Общий вес
Totals,Итоги
Total Profit,Общая прибыль
Transactions,Операции
Unavailable Items,Недоступные товары
Unpaid,Не оплачено
Update authorization info,Обновите информацию для входа
Vk Api Settings,Настройки VK API
Vk Form Settings,Настройки формы VK
VK ID,VK ID
VK URL,Ссылка VK
Voucher,Документ
Voucher No,Номер документа
Voucher Type,Тип документа
Weight,Вес
Waiting List,Список ожидания
Waiting List Sales Order,Заказ списка ожидания
Wrong Delivery Trip name,Неверное имя маршрута доставки
Invalid VK URL,Неверная ссылка VK
You can also change quantity as you want.,"Вы также можете изменить количество, как хотите."
Zip Code,Почтовый индекс
image,изображение

FRAPPE CORRECTIONS ______________________________________________________________________________________,
Search or type a command (Ctrl + G),Поиск
Reports & Masters,Основное
Report {0},Отчёт {0}
Submitted,Подтверждено
Draft,Черновик
Closed,Закрыто
Completed,Завершено
Complete,Завершить
Cancelled,Отменено
User,Пользователь
Invite as User,Пригласить как пользователя
User Permissions,Разрешения пользователей
Role Permissions Manager,Управление разрешениями ролей
Add to Dashboard,Добавить на дашборд
Last Modified On,Дата изменения
Card Label,Название карточки
Maximum,Максимум
Minimum,Минимум
Average,Среднее значение
Sum,Сумма
Field,Поле
Please select X and Y fields,Выберите поля X и Y
Y axis,Ось Y
Pie,Пирог
Percentage,Процент
Line,Линия
Bar,Полоса
X Field,Поле X
Y Field,Поле Y
Type of Chart,Тип диаграммы
Set Chart,Создать диаграммму
Create Card,Создать карточку
Add Column,Добавить столбец
Export,Экспорт
Setup Auto Email,Настроить автоматические Email
Execution Time: {0} sec,Время выполнения: {0} c
"For comparison, use >5, <10 or =324. For ranges, use 5:10 (for values between 5 & 10). ","Для сравнения используйте >5, <10 или =324. Для диапазонов используйте 5:10 (для значений от 5 до 10). "
Timeless Night,Тёмная
Frappe Light,Светлая
Switch Theme,Сменить тему
Theme Changed,Тема переключена
Make {0},Создать {0}
Select {0},Выберите {0}
No changes in document,В документе нет изменений
{0} has been submitted successfully,{0} успешно подтверждён
No New notifications,Нет новых уведомлений
Email Address,Электронная почта
No filters found,Фильтров не найдено
No filters selected,Нет выбранных фильтров
Loading,Загрузка
Not Linked to any record,Не связано с другими записями
Linked With,Связи
This is a background report. Please set the appropriate filters and then generate a new one.,"Это фоновый отчёт. Пожалуйста, установите соответствующие фильтры, а затем сгенерируйте новый."
{0} Updated,{0} обновлено
Copied to clipboard.,Скопировано
values separated by commas,значения разделены запятой
{0} filters,{0} фильтров
{0} filter,{0} фильтр
filter,фильтр
Stats,Статистика
Index,Индекс
Liked By,Лайки
Comments,Комментарии
Full Name,Полное имя
Recents,Недавние
All Results,Все результаты
"Mandatory fields required in table {0}, Row {1}","Необходимо заполнить поля в таблице {0}, строка {1}"
Mandatory fields required in {0},Необходимо заполнить поля в таблице {0}
Mandatory Fields,Обязательные поля
{0} are mandatory fields,{0} — обязательные поля
Missing Fields,Отсутствующие поля
Enter Value,Введите значение
Meter,метр
{0} items selected,{0} выбрано
Logged Out,Вы вышли
Copy to Clipboard,Скопировать
Success,Успех
View,Вид
Successfully Submitted!,Успешно подтверждено!
Amend,Возобновить
Workspace,Зона
Workspaces,Зоны
Add,Добавить
Delete All,Удалить все
Are you sure you want to delete the attachment?,"Вы уверены, что хотите удалить вложение?"
Are you sure you want to save this document?,"Вы уверены, что хотите сохранить этот документ?"
Are you sure you want to merge {0} with {1}?,"Вы уверены, что хотите объединить {0} с {1}?"
Are you sure you want to delete all rows?,"Вы уверены, что хотите удалить все строки?"
"To Do ",Задача
Add Tags,Добавить теги
Apply Assignment Rule,Добавить правило назначения
{0} must be submitted,{0} должен быть подтверждён
Permanently Submit {0}?,Навсегда подтвердить {0}?
Confirm,Подтвердите
Open,Открыть
Due Date,Срок
Reference Name,Упоминание
Reference Type,Тип упоминания
Assigned By Full Name,"Имя назначившего"
Assigned By,Кем назначено
Allocated To,Ответственный
Create a new {0},Создать {0}
No Remarks,Нет примечаний
Advanced Search,Расширенный поиск
Created,создано
Do you want to cancel all linked documents?,Хотите отменить все связанные документы?
Cancel All,Отменить все
Cancel,Отменить
Connections,Связи
URL,Ссылка
Move,Переместить
Rename,Переименовать
Duplicate,Дублировать
Delete,Удалить
Enabled,Включено
New Event,Новое событие
Comment,Отправить
Edit,Изм.
Upload,Загрузить
Add Row,Добавить строку
Add Multiple,Добавить несколько
New,Новый
Submit this document to confirm,"Подтвердите документ, если в нём не будет изменений"
of,из
Title,Название
New Email,Новое письмо
Ctrl+Enter to add comment,"Ctrl + Enter — добавить комментарий"
Add a comment,Оставить комментарий
Print Heading,Печатать заголовок
Letter Head,Заголовок письма
No.,№
New {},Новый {}
Repeat,Повторить
Jump to field,Перейти к ячейке
Print,Печать
Follow,Подписаться
Add a tag ...,Добавить тег ...
Shared With,Поделились с
Reviews,Обзоры
Attachments,Вложения
Attach File,Прикрепить файл
Priority,Приоритет
Complete By,Завершить к
Assign To,Исполнитель
Auto Repeat,Автоповтор
Reference,Справка
Logout,Выйти
Not Permitted,Не разрешено
Your Shortcuts,Быстрые команды
Reset Customizations,Сбросить кастомизации
Mark all as read,Отметить все как прочитанные
No Upcoming Events,Нет ближайших событий
Today's Events,События на сегодня
No New notifications,Нет новых уведомлений
Customize,Кастомизировать
List Settings,Настройки списка
List View,Список
Lists,Списки
Share URL,Поделиться ссылкой
Toggle Sidebar,Боковая панель
Import,Импорт
Most Used,Частота использования
Submit,Подтвердить
Not Like,не похож
Like,похож
Dashboard,Дашборд
Not Ancestors Of,не предок
Ancestors Of,предок
Not Descendants Of,не потомок
Descendants Of,потомок
Timespan,промежуток времени
Between,между
Is,является
Not In,не в
In,в
Not Equals,не равно
Equals,равно
Name,Имя
Show Saved,Показать сохранённые
Filter By,Фильтр
Filter Name,Имя
Edit Filters,Изменить фильтр
Save Filter,Сохранить фильтр
Apply Filters,Применить
Show Tags,Показать теги
Expand,Раскрыть
Expand All,Раскрыть все
Search,Поиск
Created By,Создано
Assigned To,Назначено
Background Jobs,Фоновые задачи
Toggle Theme,Сменить тему
Toggle Full Width,Открыть в полном размере
View Website,Посмотреть сайт
Reload,Перезагрузить
Session Defaults,Постоянные сессии
Help,Помощь
Administration,Администрирование
Modules,Модули
Integrations,Интеграции
Customization,Кастомизация
just now,только что
now,сейчас
Add Comment,Добавить комментарий
Saved,Сохранено
Settings,Настройки
Note,Заметка
ToDo,Задача
No Tags,Нет тегов
Insert Above,Добавить строку выше
Insert Below,Добавить строку ниже
Order Information,Информация о заказе
Shortcuts,Горячие клавиши
Ctrl + Down,Ctrl + Down
Ctrl + Up,Ctrl + Up
Permanently Cancel {0}?,Навсегда отменить {0}?
Permanently Submit {0}?,Навсегда подтвердить {0}?
From Date,С даты
To Date,До даты
Terms,Условия
Amended From,Возобновлено от документа
Sorry! I could not find what you were looking for.,"Извините! Не удалось найти, что вы ищете.",
More,Больше
Preview,Предпросмотр
No Letterhead,Без шапки
Select Letterhead,Выберите шапку
Select Network Printer,Выберите принтер в сети
Printer,Принтер
Previous Document,Предыдущий документ
Next Document,Следующий документ
Search for {0},Искать {0}
{0} List,Список {0}
{0} Tree,Дерево {0}
You haven't created a {0} yet,Ещё нет документов {0}
Create your first {0},Создайте первый документ {0}
Add a Filter,Добавить фильтр
Configure Columns,Настроить столбцы
Column Width,Ширина столбца
Add / Remove Columns,Добавить/убрать столбцы
The total column width cannot be more than 10.,Общее количество ширин столбцов не может быть больше 10
No Results found,Нет результатов
Search for anything,Ищите что угодно
{0} submitted this document {1},{0} подтвердили этот документ {1}
{0} submitted this document,{0} подтвердили этот документ
{0} cancelled this document {1},{0} отменили этот документ {1}
{0} cancelled this document,{0} отменили этот документ
{0} from {1} to {2},"{0} (было: {1}, стало: {2})"
{0} changed value of {1} {2},"{0} изменили значения: {1}, {2}"
{0} changed value of {1},{0} изменили значения: {1}
{0} from {1} to {2} in row #{3},"{0} (было: {1}, стало: {2} — строка #{3})"
{0} changed values for {1} {2},"{0} изменили значения: {1}, {2}"
{0} changed values for {1},"{0} изменили значения: {1}"
added rows for {0},добавили строки {0}
removed rows for {0},удалили строки {0}
{0} created this {1},{0} создали {1}
{0} edited this {1},{0} отредактировали {1}
Not found,Не найдено
No Data,Нет данных
